date,5. adjusted close,F
2012-09-07,19.2657,7.5548
2012-09-10,18.9442,7.5324
2012-09-11,18.936,7.5622
2012-09-12,19.0679,7.607
2012-09-13,19.3976,7.7038
2012-09-14,19.9005,7.8454
2012-09-17,19.6202,7.7411
2012-09-18,20.1396,7.7634
2012-09-19,20.4034,7.8901
2012-09-20,20.1313,7.7783
2012-09-21,20.4446,7.7485
2012-09-24,20.0819,7.6889
2012-09-25,19.3894,7.5175
2012-09-26,19.2822,7.4579
2012-09-27,19.1091,7.4654
2012-09-28,18.7546,7.3462
2012-10-01,19.0349,7.3983
2012-10-02,19.5213,7.294
2012-10-03,20.1066,7.4058
2012-10-04,20.3209,7.5324
2012-10-05,20.4446,7.5697
2012-10-08,20.255,7.4877
2012-10-09,20.0901,7.525
2012-10-10,19.9747,7.4356
2012-10-11,20.3292,7.5548
2012-10-12,20.1478,7.5399
2012-10-15,20.1808,7.6144
2012-10-16,20.4364,7.674
2012-10-17,20.6589,7.756
2012-10-18,21.0711,7.7709
2012-10-19,20.2715,7.5845
2012-10-22,20.2962,7.5772
2012-10-23,19.6779,7.4505
2012-10-24,19.5295,7.5772
2012-10-25,19.4801,7.7411
2012-10-26,19.1915,7.7187
2012-10-31,21.0217,8.352
2012-11-01,21.1701,8.4194
2012-11-02,21.2607,8.3595
2012-11-05,21.0794,8.4194
2012-11-06,21.5905,8.5466
2012-11-07,20.6342,8.2772
2012-11-08,20.3787,8.1574
2012-11-09,20.6425,8.1799
2012-11-12,20.8238,8.2098
2012-11-13,20.4611,8.2323
2012-11-14,19.9252,7.9853
2012-11-15,19.6862,7.9105
2012-11-16,19.6614,7.8581
2012-11-19,20.5518,8.105
2012-11-20,20.2797,8.12
2012-11-21,20.2797,8.1724
2012-11-23,20.7826,8.3071
2012-11-26,20.7991,8.3108
2012-11-27,20.6177,8.3071
2012-11-28,20.8403,8.4194
2012-11-29,21.5081,8.6289
2012-11-30,21.3349,8.569
2012-12-03,21.0299,8.5391
2012-12-04,20.9475,8.4643
2012-12-05,20.6095,8.4643
2012-12-06,20.255,8.4119
2012-12-07,20.7661,8.5915
2012-12-10,20.8403,8.584
2012-12-11,20.9805,8.599
2012-12-12,21.1288,8.584
2012-12-13,20.7084,8.4343
2012-12-14,20.288,8.3071
2012-12-17,20.4858,8.5241
2012-12-18,21.0134,8.7337
2012-12-19,22.4066,8.7786
2012-12-20,22.5385,8.8085
2012-12-21,22.522,8.8759
2012-12-24,22.8023,9.28
2012-12-26,22.7694,9.5719
2012-12-27,23.0496,9.5494
2012-12-28,22.959,9.6317
2012-12-31,23.7669,9.6916
2013-01-02,24.0142,9.8787
2013-01-03,24.583,10.0733
2013-01-04,24.616,10.1556
2013-01-07,24.4511,10.0508
2013-01-08,24.212,9.991
2013-01-09,24.7066,10.0808
2013-01-10,25.0941,10.3502
2013-01-11,25.0282,10.4774
2013-01-14,25.0034,10.4699
2013-01-15,25.226,10.7019
2013-01-16,24.1626,10.6421
2013-01-17,24.3109,10.6421
2013-01-18,24.1378,10.5597
2013-01-22,23.602,10.6046
2013-01-23,23.5525,10.3876
2013-01-24,23.7256,10.3801
